date,Attribute,Value
8/9/2015 0:00,maxTemp,73
8/9/2015 0:00,minTemp,62
8/10/2015 0:00,meanTemp,73
8/10/2015 0:00,maxTemp,83
8/10/2015 0:00,minTemp,63
8/11/2015 0:00,meanTemp,68
8/11/2015 0:00,maxTemp,72
8/11/2015 0:00,minTemp,64
8/12/2015 0:00,meanTemp,77
8/12/2015 0:00,maxTemp,85
8/12/2015 0:00,minTemp,68
8/13/2015 0:00,meanTemp,74
8/13/2015 0:00,maxTemp,82
8/13/2015 0:00,minTemp,66
8/14/2015 0:00,meanTemp,75
8/14/2015 0:00,maxTemp,86
8/14/2015 0:00,minTemp,63
8/15/2015 0:00,meanTemp,80
8/15/2015 0:00,maxTemp,91
8/15/2015 0:00,minTemp,68
8/16/2015 0:00,meanTemp,79
8/16/2015 0:00,maxTemp,90
8/16/2015 0:00,minTemp,67
8/17/2015 0:00,meanTemp,81
8/17/2015 0:00,maxTemp,91
8/17/2015 0:00,minTemp,71
8/18/2015 0:00,meanTemp,79
8/18/2015 0:00,maxTemp,87
8/18/2015 0:00,minTemp,71
8/19/2015 0:00,meanTemp,80
8/19/2015 0:00,maxTemp,88
8/19/2015 0:00,minTemp,71
8/20/2015 0:00,meanTemp,73
8/20/2015 0:00,maxTemp,78
8/20/2015 0:00,minTemp,68
8/21/2015 0:00,meanTemp,75
8/21/2015 0:00,maxTemp,83
8/21/2015 0:00,minTemp,67
8/22/2015 0:00,meanTemp,70
8/22/2015 0:00,maxTemp,73
8/22/2015 0:00,minTemp,67
8/23/2015 0:00,meanTemp,69
8/23/2015 0:00,maxTemp,71
8/23/2015 0:00,minTemp,67
8/24/2015 0:00,meanTemp,72
8/24/2015 0:00,maxTemp,75
8/24/2015 0:00,minTemp,68
8/25/2015 0:00,meanTemp,74
8/25/2015 0:00,maxTemp,81
8/25/2015 0:00,minTemp,67
8/26/2015 0:00,meanTemp,77
8/26/2015 0:00,maxTemp,85
8/26/2015 0:00,minTemp,69
8/27/2015 0:00,meanTemp,74
8/27/2015 0:00,maxTemp,82
8/27/2015 0:00,minTemp,65
8/28/2015 0:00,meanTemp,70
8/28/2015 0:00,maxTemp,75
8/28/2015 0:00,minTemp,64
8/29/2015 0:00,meanTemp,73
8/29/2015 0:00,maxTemp,82
8/29/2015 0:00,minTemp,63
8/30/2015 0:00,meanTemp,79
8/30/2015 0:00,maxTemp,88
8/30/2015 0:00,minTemp,69
8/31/2015 0:00,meanTemp,81
8/31/2015 0:00,maxTemp,90
8/31/2015 0:00,minTemp,71
9/1/2015 0:00,meanTemp,74
9/1/2015 0:00,maxTemp,79
9/1/2015 0:00,minTemp,69
9/2/2015 0:00,meanTemp,79
9/2/2015 0:00,maxTemp,91
9/2/2015 0:00,minTemp,66
9/3/2015 0:00,meanTemp,76
9/3/2015 0:00,maxTemp,82
9/3/2015 0:00,minTemp,70
9/4/2015 0:00,meanTemp,67
9/4/2015 0:00,maxTemp,72
9/4/2015 0:00,minTemp,62
9/5/2015 0:00,meanTemp,66
9/5/2015 0:00,maxTemp,73
9/5/2015 0:00,minTemp,58
9/6/2015 0:00,meanTemp,72
9/6/2015 0:00,maxTemp,82
9/6/2015 0:00,minTemp,61
